Apr  9 21:31:24	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Apr 11 18:01:04	 OTHER     	INFO   	Mail successfully.
Apr 11 21:33:27	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 11 21:33:27	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 11 21:33:27	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 11 21:33:27	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 11 22:04:16	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 11 22:04:16	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 11 22:04:16	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 11 22:04:16	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 11 22:11:53	 DHCP      	NOTICE 	DHCPS:Recv DISCOVER from 90:CD:B6:26:77:B8
Apr 11 22:11:53	 DHCP      	ERROR  	DHCPS:lease host name not found
Apr 11 22:11:53	 DHCP      	NOTICE 	DHCPS:Send OFFER with ip 192.168.0.101
Apr 11 22:11:53	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 90:CD:B6:26:77:B8
Apr 11 22:11:53	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Apr 11 22:14:16	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 11 22:14:16	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 11 22:14:18	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 11 22:14:22	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 11 22:14:25	 DHCP      	NOTICE 	DHCPS:Recv DISCOVER from 14:9D:09:94:89:C6
Apr 11 22:14:26	 DHCP      	NOTICE 	DHCPS:Send OFFER with ip 192.168.0.102
Apr 11 22:14:26	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 11 22:14:26	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 02:36:29	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 02:36:29	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 02:36:29	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 02:36:29	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 02:39:30	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 02:39:30	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 02:39:30	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 02:39:30	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 02:40:50	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 02:40:50	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 02:40:50	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 02:40:50	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 03:02:50	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 70:F9:27:50:CF:80
Apr 12 03:02:50	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.103
Apr 12 06:20:16	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 12 06:20:16	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 12 06:20:16	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 12 06:20:16	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 12 06:28:33	 DHCP      	NOTICE 	DHCPS:Recv DISCOVER from 90:CD:B6:26:77:B8
Apr 12 06:28:33	 DHCP      	ERROR  	DHCPS:lease host name not found
Apr 12 06:28:33	 DHCP      	NOTICE 	DHCPS:Send OFFER with ip 192.168.0.101
Apr 12 06:28:33	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 90:CD:B6:26:77:B8
Apr 12 06:28:33	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Apr 12 11:52:11	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 11:52:11	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 11:52:11	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 11:52:11	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 11:56:30	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 11:56:30	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 11:56:30	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 11:56:30	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 11:58:23	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 11:58:23	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 11:58:23	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 11:58:23	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 14:42:15	 DHCP      	NOTICE 	DHCPS:Recv DISCOVER from 90:CD:B6:26:77:B8
Apr 12 14:42:15	 DHCP      	ERROR  	DHCPS:lease host name not found
Apr 12 14:42:15	 DHCP      	NOTICE 	DHCPS:Send OFFER with ip 192.168.0.101
Apr 12 14:42:15	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 90:CD:B6:26:77:B8
Apr 12 14:42:15	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Apr 12 17:24:03	 DHCP      	NOTICE 	DHCPS:Recv DISCOVER from 90:CD:B6:26:77:B8
Apr 12 17:24:03	 DHCP      	ERROR  	DHCPS:lease host name not found
Apr 12 17:24:03	 DHCP      	NOTICE 	DHCPS:Send OFFER with ip 192.168.0.101
Apr 12 17:24:03	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 90:CD:B6:26:77:B8
Apr 12 17:24:03	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Apr 12 18:01:04	 OTHER     	INFO   	Mail successfully.
Apr 12 19:02:50	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 70:F9:27:50:CF:80
Apr 12 19:02:50	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.103
Apr 12 19:58:00	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 12 19:58:00	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 12 19:58:00	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 12 19:58:00	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 12 22:06:50	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 22:06:50	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 22:06:50	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 12 22:06:50	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 12 22:06:57	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 12 22:06:57	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 12 22:06:57	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 12 22:06:57	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 12 22:14:21	 DHCP      	NOTICE 	DHCPS:Recv DISCOVER from 90:CD:B6:26:77:B8
Apr 12 22:14:21	 DHCP      	ERROR  	DHCPS:lease host name not found
Apr 12 22:14:21	 DHCP      	NOTICE 	DHCPS:Send OFFER with ip 192.168.0.101
Apr 12 22:14:21	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 90:CD:B6:26:77:B8
Apr 12 22:14:21	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
